policy_id,bel_per_policy,sum_assured,coverage_years,issue_age
1,303.8477937721277,15304.029,10,43
2,130.33857692163525,94630.086,10,34
3,159.09059430771111,37575.605,10,45
4,12.583814960234008,131179.1,10,35
5,191.27583133730957,50980.555,10,39
6,236.45658585205754,63143.51,10,31
7,176.22334141493116,55064.445,10,39
8,152.511355892454,103915.32,10,30
9,154.93652665490526,25518.877,10,50
10,-30.33607253450998,43141.043,10,51
11,-369.21494732130645,250985.38,10,36
12,4.460577824597124,195296.16,10,25
13,323.277413516412,19375.857,10,36
14,307.5722724235261,39777.477,10,22
15,219.7199838968581,34529.77,10,42
16,345.2890257725273,18571.129,10,26
17,254.96606557625773,67389.45,10,23
18,124.69683483121736,40095.16,10,46
19,317.60873825375575,34327.285,10,22
20,360.59523533322795,12622.515,10,18
21,-241.70810207652073,71050.51,10,50
22,49.35173818972896,60878.89,10,44
23,235.09653544565117,81303.43,10,20
24,217.00413563024182,71673.75,10,31
25,71.8660398151161,170033.11,10,21
26,188.65616074660937,104353.4,10,22
27,196.06946489928748,24495.6,10,48
28,-1980.536293856574,231178.27,10,52
29,354.10780554147095,12837.318,10,30
30,226.32831405211243,38552.953,10,40
31,-79.65295884995851,260603.97,10,19
32,227.51263027521307,44328.863,10,38
33,174.16332273927105,100227.44,10,28
34,276.0815540696904,26190.502,10,40
35,-65.10437921374847,34155.5,10,55
36,208.35186665494052,68740.445,10,33
37,351.34950909823647,9155.064,10,38
38,319.41392371145906,33805.652,10,21
39,80.28076008390724,107009.375,10,35
40,251.02267547365665,13468.531,10,51
41,-376.5180310823306,128944.67,10,45
42,256.3123229782466,14021.357,10,50
43,306.0489584888444,16056.154,10,42
44,138.83857934795833,86102.44,10,35
45,169.05329546560193,52849.66,10,40
46,256.3843866844592,68491.22,10,21
47,-31.116657248598074,39879.152,10,52
48,146.45584642491576,123652.68,10,24
49,241.4957795884292,43269.195,10,37
50,226.91663646469488,88492.12,10,18
51,139.4222168809152,109880.61,10,30
52,273.9344678566148,42517.258,10,33
53,194.5179992080033,39930.28,10,42
54,20.31715277529969,40950.24,10,50
55,157.02809966149852,51750.316,10,41
56,-482.0979979248666,147008.72,10,45
57,215.91237775856305,86999.74,10,24
58,246.21009714786572,50736.73,10,34
59,205.75581724392424,34720.367,10,43
60,96.81566990686815,44487.87,10,46
61,353.9448579622932,13677.463,10,28
62,224.86100307537723,41908.965,10,39
63,298.5715868122977,13958.658,10,45
64,144.08218052402094,99204.24,10,32
65,225.68862821898267,26230.312,10,45
66,257.4304523738641,64002.152,10,25
67,143.71323447514487,94586.164,10,33
68,220.95774890393835,91916.0,10,18
69,297.04741991683414,48194.973,10,18
70,259.5385466361799,63977.67,10,24
71,305.0179384564666,23699.307,10,37
72,-368.2517082378888,127530.4,10,45
73,279.58816588662904,29357.021,10,38
74,268.16041434238576,51208.375,10,30
75,-166.48543591432963,67632.23,10,49
76,78.06081086646753,81697.26,10,39
77,233.33399779368924,78974.625,10,23
78,351.4621892444284,16365.516,10,23
79,301.31324123075126,43176.36,10,22
80,-73.46568361681028,235740.73,10,25
81,352.225014086893,13121.893,10,31
82,-511.962463923491,102096.05,10,50
83,-147.90247006381162,47396.152,10,53
84,277.38275036209774,58572.6,10,19
85,119.17872989463507,19869.877,10,55
86,141.4583093189031,131735.9,10,21
87,328.073404155866,28723.623,10,22
88,-44.87412514310097,216648.8,10,26
89,227.76001409489203,38197.133,10,40
90,-104.9665691558298,112919.695,10,41
91,224.04142412250775,71315.516,10,30
92,222.83271192602592,56114.266,10,35
93,275.43423316669566,51066.652,10,28
94,318.37354388187543,33911.977,10,22
95,321.22784765433033,30313.434,10,26
96,168.5215414061238,42118.742,10,43
97,123.15763680871021,29136.373,10,50
98,-1708.156106324599,188975.2,10,53
99,174.99391623436736,86225.88,10,32
100,205.24618374376468,54623.03,10,37
101,141.4123871807986,104821.71,10,31
102,161.8602050989566,43442.37,10,43
103,365.0359018591307,10215.215,10,20
104,-114.07571886630944,115046.71,10,41
105,36.7691806038423,63194.9,10,44
106,264.6709009268941,41176.75,10,35
107,315.74598898390474,36321.496,10,20
108,263.499626878709,38980.758,10,36
109,356.2910419613431,14088.559,10,22
110,120.31355964721928,129653.04,10,27
111,359.587893583637,9889.763,10,32
112,198.16692951383112,88575.25,10,28
113,327.6886772831352,30106.658,10,19
114,327.27408129572154,29138.273,10,22
115,203.485228756149,20012.736,10,50
116,315.63582758033283,33128.18,10,26
117,274.83254147001094,53899.477,10,26
118,253.71542944048159,69023.74,10,22
119,170.06420958736186,65642.48,10,37
120,-5113.039033453761,582695.4,10,51
121,177.22264067461805,63400.44,10,37
122,313.9854792569172,37860.727,10,19
123,176.57469089391702,24981.342,10,49
124,138.76535464664664,117411.016,10,28
125,229.22182175547857,71338.664,10,29
126,-290.06452080957285,65290.043,10,52
127,-332.8834123065925,64180.844,10,53
128,314.78458793579057,33561.6,10,26
129,200.68786468402607,56050.78,10,37
130,-1612.1947709925314,154178.77,10,55
131,-2306.0523121666265,308192.84,10,50
132,33.89733042567133,63723.484,10,44
133,-65.86448396045216,129939.62,10,38
134,291.6558044074425,12856.747,10,47
135,271.2612196564172,21704.617,10,43
136,310.3514943478742,23609.248,10,36
137,199.56490880684635,75909.9,10,32
138,316.1592703713902,32861.72,10,26
139,313.1691856602001,37758.668,10,20
140,72.33572606092571,153544.61,10,27
141,-1331.179229152791,167456.0,10,52
142,-1425.0062053656222,224109.62,10,49
143,181.5700616042858,62038.773,10,37
