policy_id,issue_age,sum_assured,coverage_years,issue_year,portfolio_id
1,43,15304.029,10,2026,TERM_LIFE
2,34,94630.086,10,2026,TERM_LIFE
3,45,37575.605,10,2026,TERM_LIFE
4,35,131179.1,10,2026,TERM_LIFE
5,39,50980.555,10,2026,TERM_LIFE
6,31,63143.51,10,2026,TERM_LIFE
7,39,55064.445,10,2026,TERM_LIFE
8,30,103915.32,10,2026,TERM_LIFE
9,50,25518.877,10,2026,TERM_LIFE
10,51,43141.043,10,2026,TERM_LIFE
11,36,250985.38,10,2026,TERM_LIFE
12,25,195296.16,10,2026,TERM_LIFE
13,36,19375.857,10,2026,TERM_LIFE
14,22,39777.477,10,2026,TERM_LIFE
15,42,34529.77,10,2026,TERM_LIFE
16,26,18571.129,10,2026,TERM_LIFE
17,23,67389.45,10,2026,TERM_LIFE
18,46,40095.16,10,2026,TERM_LIFE
19,22,34327.285,10,2026,TERM_LIFE
20,18,12622.515,10,2026,TERM_LIFE
21,50,71050.51,10,2026,TERM_LIFE
22,44,60878.89,10,2026,TERM_LIFE
23,20,81303.43,10,2026,TERM_LIFE
24,31,71673.75,10,2026,TERM_LIFE
25,21,170033.11,10,2026,TERM_LIFE
26,22,104353.4,10,2026,TERM_LIFE
27,48,24495.6,10,2026,TERM_LIFE
28,52,231178.27,10,2026,TERM_LIFE
29,30,12837.318,10,2026,TERM_LIFE
30,40,38552.953,10,2026,TERM_LIFE
31,19,260603.97,10,2026,TERM_LIFE
32,38,44328.863,10,2026,TERM_LIFE
33,28,100227.44,10,2026,TERM_LIFE
34,40,26190.502,10,2026,TERM_LIFE
35,55,34155.5,10,2026,TERM_LIFE
36,33,68740.445,10,2026,TERM_LIFE
37,38,9155.064,10,2026,TERM_LIFE
38,21,33805.652,10,2026,TERM_LIFE
39,35,107009.375,10,2026,TERM_LIFE
40,51,13468.531,10,2026,TERM_LIFE
41,45,128944.67,10,2026,TERM_LIFE
42,50,14021.357,10,2026,TERM_LIFE
43,42,16056.154,10,2026,TERM_LIFE
44,35,86102.44,10,2026,TERM_LIFE
45,40,52849.66,10,2026,TERM_LIFE
