policy_id,ra_per_policy
1,5.837607
2,6.905375
3,6.98153
4,7.9826937
5,6.502511
6,6.2031465
7,6.7164063
8,6.4806724
9,6.5443115
10,8.794032
11,12.474217
12,8.851325
13,5.7949767
14,5.8156433
15,6.6204696
16,5.429834
17,6.235678
18,6.968854
19,5.6190615
20,5.4061737
21,10.478914
22,7.7411766
23,6.669638
24,6.446467
25,7.8325624
26,6.3298945
27,6.1171837
28,39.19061
29,5.8982196
30,6.251603
31,9.896516
32,5.918621
33,6.893126
34,5.7050323
35,8.936136
36,6.1621814
37,5.3623095
38,6.242238
39,7.4814224
40,6.3884583
41,12.649762
42,5.7425637
43,5.9023514
44,7.5635705
45,6.9017563
46,6.1153474
47,9.478297
48,6.8161354
49,6.196605
50,6.3166094
51,6.608814
52,5.955078
53,6.625792
54,8.204404
55,6.78265
56,13.8115635
57,6.3233714
58,6.3004045
59,6.2735
60,6.603987
61,5.8052673
62,6.3252068
63,5.7433486
64,6.532146
65,5.9260874
66,5.6972857
67,6.971762
68,6.438581
69,5.8386703
70,6.052808
71,5.936476
72,13.325899
73,5.3837647
74,5.4314547
75,10.726663
76,7.3255916
77,6.466111
78,5.4114275
79,5.8257766
80,9.0554495
81,5.3981996
82,15.364829
83,10.364125
84,5.815764
85,6.970357
86,6.9132104
87,6.068935
88,9.447309
89,6.4736757
90,9.305547
91,5.9689393
92,6.320746
93,5.5362153
94,5.6853957
95,5.797325
96,6.9169855
97,7.19296
98,30.42372
99,6.5661783
100,6.297561
101,6.7870746
102,6.5615463
103,5.220987
104,9.966572
105,7.785459
106,5.931006
107,5.7138963
108,5.83277
109,5.493158
110,7.0946183
111,5.8038683
112,6.430641
113,6.028095
114,5.7581606
115,6.139178
116,6.098343
117,6.012079
118,5.941307
119,6.6862526
120,82.94789
121,6.2473006
122,5.4455614
123,6.686381
124,6.707982
125,6.107026
126,11.86324
127,12.805094
128,5.898334
129,6.546431
130,34.903263
131,41.901894
132,8.069766
133,8.670366
134,6.011388
135,6.0676455
136,5.9582305
137,6.6724772
138,5.4372497
139,5.8638597
140,7.503074
141,27.72116
142,27.669214
143,6.4007697
144,5.4350114
145,44.620327
146,5.6694903
147,9.059833
148,5.9698615
149,6.6178217
150,5.7730165
151,6.3799043
152,7.1764617
153,17.816135
154,6.081212
155,9.453513
156,8.969828
157,6.813352
158,5.9031205
159,8.597119
160,6.7078347
161,13.2431
162,6.084842
163,5.5641174
164,8.452243
165,5.9098144
166,10.684494
167,11.914146
168,5.5171356
169,8.712248
170,5.5631776
171,6.422558
172,12.8606205
173,7.08425
174,8.92137
175,11.3832245
176,5.831015
177,6.0912538
178,5.89512
179,7.563634
180,6.1685424
181,7.9935937
182,8.972053
183,6.9399934
184,6.7733254
185,6.0345016
186,13.231458
187,15.995116
188,12.308126
189,5.938173
190,5.803992
191,5.877437
192,6.3993716
193,5.8359284
194,6.527214
195,15.270291
196,5.7076755
197,8.220361
198,6.790007
199,8.06257
200,6.682251
201,5.9183974
202,19.268965
203,5.7708726
204,5.7674365
205,15.377551
206,6.3480415
207,5.358336
208,6.557711
209,13.301117
210,6.863569
211,6.987594
212,6.5351596
213,5.5025454
214,6.8877807
215,5.6426787
216,8.54389
217,32.731777
218,8.310676
219,6.4146676
220,15.317347
221,7.3006606
222,6.5940347
223,5.8927827
224,8.454116
225,6.666591
226,6.158487
227,5.6712203
228,9.016027
229,6.3439
230,6.3882556
231,9.995186
232,6.876064
233,6.472207
234,7.697516
235,9.236737
236,6.9219003
237,5.781639
238,6.734909
239,7.17585
240,7.3020525
241,12.616618
242,5.7290587
243,7.0693507
244,5.692595
245,6.4012847
246,5.7040987
247,6.3081255
248,6.688779
249,7.082933
250,7.2745156
251,5.5853744
252,6.550841
253,5.7530184
254,9.341609
255,5.619783
256,14.743655
257,5.7958026
258,5.919885
259,6.537033
260,7.693114
261,7.2905245
262,7.553842
263,10.095905
264,6.385335
265,5.4776154
266,5.685759
267,11.474155
