policy_id,bel_per_policy,sum_assured,coverage_years,issue_age
1,118.16611554547859,27425.176,10,51
2,72.99268632916329,48241.266,10,46
3,-104.86961700931465,47116.613,10,52
4,275.9374940578299,43844.957,10,32
5,-194.79652128426847,51650.598,10,53
6,204.29367291321165,91580.84,10,25
7,233.72724769778483,29162.496,10,43
8,356.1525332240352,14758.231,10,19
9,-282.852030491769,193258.94,10,38
10,126.97671185593094,119529.18,10,29
11,165.95794207185577,20678.877,10,52
12,213.51078859014098,55730.56,10,36
13,-66.75086573617273,112233.86,10,40
14,-11.2500652174121,91036.28,10,41
15,231.57325136163004,72358.555,10,28
16,53.85558331427535,43634.21,10,48
17,-29.53717736371175,199111.73,10,28
18,212.893393009833,59662.883,10,35
19,237.7373491813698,33117.293,10,41
20,-731.7224834043079,100372.03,10,53
21,-174.95134726808044,53993.836,10,52
22,182.42717353451155,66145.79,10,36
23,126.70218324065826,58823.555,10,41
24,243.81667479341684,74399.07,10,22
25,340.5244842999688,22857.014,10,20
26,241.86000250723123,15660.441,10,50
27,-201.2746228774788,157484.84,10,39
28,266.8040082778297,61049.844,10,23
29,217.18135738023332,92638.13,10,19
30,355.6288339965557,12233.959,10,30
31,-124.04398828796866,117374.48,10,41
32,267.0705499761634,32944.836,10,38
33,237.5742785121964,26233.795,10,44
34,52.31808775372161,47528.258,10,47
35,339.36803096440866,22865.72,10,22
36,-268.6039184873322,49930.78,10,55
37,116.4870120329141,44833.35,10,45
38,174.5072792992092,116785.59,10,19
39,12.36355294987294,167787.55,10,30
40,91.829916605427,163569.12,10,19
41,355.4387423614421,8169.527,10,38
42,171.30505272812093,23662.453,10,50
43,357.7361405981703,8102.0215,10,37
44,340.79377331996835,19243.805,10,29
45,72.9068354003004,29737.486,10,52
46,123.23625386482689,69440.64,10,39
47,258.26843306594685,32985.773,10,39
48,245.74142253453363,33729.3,10,40
49,235.64896553923558,57825.78,10,33
50,341.1671308907173,12737.817,10,37
51,261.56411086832304,25563.064,10,42
52,304.2373941990495,33420.773,10,31
53,149.06383976158162,42525.395,10,44
54,150.8929646619667,53174.887,10,41
55,-1317.281431195908,166092.16,10,52
56,-331.375518368171,103408.99,10,47
57,221.05348768801747,27019.938,10,45
58,299.21047549458916,40567.195,10,27
59,305.24878410299596,38415.91,10,26
60,297.4751938270066,33138.67,10,33
61,255.80872008639747,62180.14,10,27
62,355.7958560708995,11293.184,10,32
63,-22.734601924242895,101148.984,10,40
64,38.39236982915344,193807.16,10,19
65,309.6890252000997,40291.906,10,19
66,285.88751042224146,39667.47,10,32
67,-10.61289249305645,56693.434,10,47
68,-972.8840753352993,113016.27,10,54
69,311.70658303649316,38574.367,10,20
70,-883.9316709665818,105549.41,10,54
71,-506.984604627688,73907.83,10,54
72,-3884.8938790447464,330733.25,10,55
73,305.2016712992925,38439.8,10,26
74,363.76487130170415,10290.516,10,24
75,326.57500718710384,15889.71,10,38
76,281.5508372231049,50479.414,10,26
77,16.35222980533314,113787.05,10,37
78,297.39060511226376,29666.418,10,35
79,-160.69639988228835,41565.773,10,55
80,223.69829350967927,86478.62,10,21
81,273.05768627067744,23100.1,10,42
82,310.7052422584437,30661.49,10,31
83,343.0877364235626,19645.37,10,26
84,-263.013036307604,128330.055,10,43
85,-302.61638900214757,171633.48,10,40
86,357.3128357528243,14132.696,10,19
87,302.0330413300511,44624.125,10,19
88,-523.7504782598171,154135.2,10,45
89,160.0326184234528,68784.55,10,37
90,181.22003821321522,33805.773,10,45
91,354.6583629804278,14513.704,10,24
92,152.31690100823914,125760.414,10,21
93,252.20308787317165,66715.36,10,25
94,348.13106542167696,15388.706,10,30
95,85.0599485127301,129533.02,10,31
96,235.7856494446925,13897.378,10,52
97,-18.782623611030203,41914.594,10,51
98,288.1832620661918,40460.703,10,31
99,14.197040734869688,182495.97,10,27
100,273.0318267861444,40576.38,10,34
101,122.38218751111788,40459.797,10,46
102,191.22697620011706,16803.049,10,53
