policy_id,issue_age,sum_assured,coverage_years
1,51,27425.176,10
2,46,48241.266,10
3,52,47116.613,10
4,32,43844.957,10
5,53,51650.598,10
6,25,91580.84,10
7,43,29162.496,10
8,19,14758.231,10
9,38,193258.94,10
10,29,119529.18,10
11,52,20678.877,10
12,36,55730.56,10
13,40,112233.86,10
14,41,91036.28,10
15,28,72358.555,10
16,48,43634.21,10
17,28,199111.73,10
18,35,59662.883,10
19,41,33117.293,10
20,53,100372.03,10
21,52,53993.836,10
22,36,66145.79,10
23,41,58823.555,10
24,22,74399.07,10
25,20,22857.014,10
26,50,15660.441,10
27,39,157484.84,10
28,23,61049.844,10
29,19,92638.13,10
30,30,12233.959,10
31,41,117374.48,10
32,38,32944.836,10
33,44,26233.795,10
34,47,47528.258,10
35,22,22865.72,10
36,55,49930.78,10
37,45,44833.35,10
38,19,116785.59,10
39,30,167787.55,10
40,19,163569.12,10
41,38,8169.527,10
42,50,23662.453,10
43,37,8102.0215,10
44,29,19243.805,10
45,52,29737.486,10
46,39,69440.64,10
47,39,32985.773,10
48,40,33729.3,10
49,33,57825.78,10
50,37,12737.817,10
51,42,25563.064,10
52,31,33420.773,10
53,44,42525.395,10
54,41,53174.887,10
55,52,166092.16,10
56,47,103408.99,10
57,45,27019.938,10
58,27,40567.195,10
59,26,38415.91,10
60,33,33138.67,10
61,27,62180.14,10
62,32,11293.184,10
63,40,101148.984,10
64,19,193807.16,10
65,19,40291.906,10
66,32,39667.47,10
67,47,56693.434,10
68,54,113016.27,10
69,20,38574.367,10
70,54,105549.41,10
71,54,73907.83,10
72,55,330733.25,10
73,26,38439.8,10
74,24,10290.516,10
75,38,15889.71,10
76,26,50479.414,10
77,37,113787.05,10
78,35,29666.418,10
79,55,41565.773,10
80,21,86478.62,10
81,42,23100.1,10
82,31,30661.49,10
83,26,19645.37,10
84,43,128330.055,10
85,40,171633.48,10
86,19,14132.696,10
87,19,44624.125,10
88,45,154135.2,10
89,37,68784.55,10
90,45,33805.773,10
91,24,14513.704,10
92,21,125760.414,10
93,25,66715.36,10
94,30,15388.706,10
95,31,129533.02,10
96,52,13897.378,10
97,51,41914.594,10
98,31,40460.703,10
99,27,182495.97,10
100,34,40576.38,10
101,46,40459.797,10
102,53,16803.049,10
103,45,29955.258,10
104,21,26002.342,10
105,49,27108.44,10
106,19,50252.016,10
107,30,7132.6436,10
